OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
44	44	21.67542314	44	6.899602264	21.67604683	37.38955507	372	2	44	772806.2603	372	44	45	29.96980813	44	-1890	-5936047.5	1024058.25
45	45	36.83758554	45	14.69923412	46.17921289	169.700526	473	2	45	772932.2019	473	45	46	23.80227977	45	-1890	-5936128	1024187.938
46	46	39.49889922	46	16.91884731	53.15229195	224.8195781	220	2	46	772544.1109	220	46	47	39.54408815	46	-1946	-5935984	1023507.438
47	47	24.23368649	47	7.713907907	24.23424573	46.73574289	252	2	47	772588.4594	252	47	48	49.34371505	47	-1938	-5936036.5	1023498.438
48	48	18.81752804	48	5.989884123	18.81751168	28.17828287	259	2	48	772601.9479	259	48	49	21.67551895	48	-1938	-5936021.5	1023563.5
49	49	22.37456454	49	9.271955274	29.12884708	67.52066754	237	2	49	772573.2193	237	49	50	52.19846248	49	-1946	-5936005.5	1023534.688
50	50	10.83416176	50	4.285944995	13.46455196	14.42693081	209	2	50	772530.9446	209	50	51	55.41037358	50	-1931	-5935924	1023634.438
51	51	28.9437311	51	9.213177425	28.94380727	66.6655477	257	2	51	772595.6459	257	51	54	32.27840571	51	-1931	-5935995	1023620.938
52	52	41.40448696	52	13.17951335	41.40457845	136.4227723	178	2	52	772491.6136	178	52	55	68.16449648	52	-1931	-5935879.5	1023656.938
53	53	25.57854973	53	10.97090535	34.466413	94.53275426	157	2	53	772455.8698	157	53	56	54.18867525	53	-1931	-5935841	1023655
54	54	55.13322325	54	24.68853193	77.56121023	478.7174847	132	2	54	772424.332	132	54	57	83.22335778	54	-1931	-5935788.5	1023711.875
55	55	37.46240962	55	11.92475333	37.46249008	111.6820605	81	2	55	772340.7947	81	55	58	47.97549886	55	-1931	-5935726	1023640.125
