OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
58	65	42.87465447	134.6949416	1443.752365	77	2	65	1063434.625	77	58	65	-202	-5961997.5	1273752.125
59	66	9.021574469	28.34233412	63.92362025	84	2	66	1063464.133	84	59	66	-202	-5961985	1273813
60	67	10.20679237	32.06531296	81.8203065	83	2	67	1063462.027	83	60	67	-202	-5961988.5	1273803.875
61	68	9.452832468	29.6967487	70.17912416	69	2	68	1063396.459	69	61	68	-202	-5961940.5	1273759.375
62	69	13.08884295	41.11969142	134.5518984	85	2	69	1063472.86	85	62	69	-202	-5962008	1273789.5
63	70	11.50662759	36.14909454	103.9884209	86	2	70	1063475.982	86	63	70	-202	-5962006.5	1273799
64	71	33.21124797	104.336236	866.2843453	53	2	71	1063238.791	53	64	71	-202	-5961717.5	1273874.75
65	72	17.82970534	56.01341233	249.6745048	59	2	72	1063330.003	59	65	72	-202	-5961790	1273912.125
66	73	21.40924445	67.25898624	359.9902763	6	2	73	1062834.753	6	66	73	-203	-5961205	1274004.625
67	74	17.63415431	55.3992731	244.2295834	8	2	74	1062844.197	8	67	74	-203	-5961217.5	1273991
68	75	12.35375119	38.81056782	119.8643762	4	2	75	1062794.678	4	68	75	-203	-5961161	1273996.25
69	76	11.38832583	35.77721374	101.8598816	3	2	76	1062787.582	3	69	76	-203	-5961156.5	1273988.625
70	77	14.97638331	47.04958769	176.1577602	1	2	77	1062765.999	1	70	77	-203	-5961151.5	1273956.125
71	78	65.58678036	206.0467711	3378.483191	80	2	78	1063458.727	80	71	78	-187	-5961666.5	1274445
72	79	36.74544369	115.4393848	1060.469404	61	2	79	1063346.21	61	72	79	-173	-5961447	1274585.5
73	80	19.1428349	60.13881525	287.806019	64	2	80	1063381.093	64	73	80	-173	-5961475.5	1274597
74	81	6.891142681	21.64920481	37.29701148	70	2	81	1063398.987	70	74	81	-173	-5961479	1274609.5
75	82	15.13113853	47.53606676	179.8194333	82	2	82	1063461.758	82	75	82	-173	-5961502.5	1274700.5
76	83	29.62983224	93.08487907	689.5224546	63	2	83	1063371	63	76	83	-173	-5961444.5	1274636.25
77	84	20.10521729	63.16253676	317.4748042	66	2	84	1063383.042	66	77	84	-173	-5961367.5	1274792.625
78	85	22.16011708	69.61786816	385.6839588	72	2	85	1063402.289	72	78	85	-173	-5961379.5	1274811.25
79	86	27.18434187	85.40217213	580.400756	65	2	86	1063381.903	65	79	86	-167	-5961345.5	1274835.625
80	87	15.92073578	50.01635416	199.0738424	76	2	87	1063427.723	76	80	87	-173	-5961452	1274722.5
81	88	44.86205438	140.9381965	1580.693093	71	2	88	1063402.174	71	81	88	-173	-5961412.5	1274767.25
82	89	24.93041422	78.32109406	488.1436306	34	2	89	1063089.305	34	82	89	-167	-5961058	1274784.625
83	90	24.45225727	76.8190263	469.599615	35	2	90	1063100.965	35	83	90	-167	-5961056	1274811.625
84	91	24.10813555	75.73785578	456.4741066	23	2	91	1063020.607	23	84	91	-167	-5960978.5	1274788.125
85	92	15.88963753	49.91856471	198.2961652	54	2	92	1063256.334	54	85	92	-167	-5961144	1274950.875
86	93	111.6849526	350.8687889	9796.695544	51	2	93	1063219.192	51	86	93	-156	-5961116.5	1275005
87	94	110.7443435	347.9135678	9632.363581	31	2	94	1063068.013	31	87	94	-147	-5960879	1275113.125
88	95	12.46647491	39.16435065	122.0596152	28	2	95	1063056.631	28	88	95	-147	-5960835.5	1275111.75
89	96	31.7486372	99.74110333	791.6595808	26	2	96	1063025.212	26	89	96	-147	-5960802	1275134.5
90	97	36.99450115	116.2215146	1074.887958	24	2	97	1063021.499	24	90	97	-147	-5960790.5	1275147
91	98	24.73697619	77.71321063	480.5956541	21	2	98	1062984.84	21	91	98	-147	-5960780	1275086.875
92	99	46.88621441	147.2972584	1726.551205	87	2	99	1063479.44	87	92	99	-156	-5961218.5	1275288
93	100	18.87201228	59.28813521	279.7214156	92	2	100	1063531.642	92	93	100	-156	-5961250	1275307.625
94	101	28.2384955	88.71403944	626.2890881	111	2	101	1063658.915	111	94	101	-162	-5961357	1275370.375
95	102	35.80324033	112.4789074	1006.774747	114	2	102	1063672.696	114	95	102	-162	-5961389.5	1275343.875
96	103	20.0102507	62.86421148	314.4829327	119	2	103	1063701.937	119	96	103	-162	-5961400.5	1275366
97	104	26.13994185	82.12079326	536.656517	117	2	104	1063689.722	117	97	104	-162	-5961385.5	1275372.75
98	105	68.52496512	215.2772539	3687.9619	106	2	105	1063650.619	106	98	105	-151	-5961322.5	1275451.125
99	106	125.8091987	395.2412426	12431.24564	89	2	106	1063486.663	89	99	106	-156	-5961182.5	1275427.375
100	107	30.03338031	94.3527088	708.4331611	97	2	107	1063565.7	97	100	107	-151	-5961198	1275468.625
101	109	39.71916869	124.7811403	1239.047728	91	2	109	1063522.338	91	101	109	-151	-5961148	1275490.75
102	110	24.23695384	76.1425668	461.3655491	78	2	110	1063438.167	78	102	110	-151	-5961062	1275468.875
103	111	12.29651714	38.63049009	118.7546357	102	2	111	1063599.53	102	103	111	-151	-5961249.5	1275435.25
104	112	32.94742143	103.5075274	852.5777691	62	2	112	1063347.674	62	104	112	-167	-5961273	1274908
105	113	13.95861416	43.85254937	153.0311452	60	2	113	1063344.492	60	105	113	-167	-5961244.5	1274937.5
106	114	51.38761726	161.4391614	2073.996035	88	2	114	1063481.121	88	106	114	-156	-5961317	1275111.75
107	115	35.57847844	111.773337	994.1835431	133	2	115	1063836.169	133	107	115	-162	-5961614.5	1275248.5
108	116	48.17216222	151.3376223	1822.568872	132	2	116	1063830.343	132	108	116	-162	-5961591.5	1275283.75
109	117	61.43305721	192.9977709	2964.112766	137	2	117	1063884.915	137	109	117	-162	-5961682.5	1275253.75
110	118	23.40218251	73.52005786	430.1320623	141	2	118	1063977.19	141	110	118	-162	-5961763.5	1275255.125
111	119	37.53038642	117.9051615	1106.256336	148	2	119	1064028.203	148	111	119	-162	-5961744	1275399.125
112	120	58.49722351	183.7747051	2687.581264	150	2	120	1064050.892	150	112	120	-162	-5961776	1275403.25
113	121	40.86811828	128.3911753	1311.778429	145	2	121	1064011.904	145	113	121	-162	-5961707.5	1275420.875
114	122	22.72448603	71.39122951	405.5831081	142	2	122	1063991.914	142	114	122	-162	-5961719.5	1275359.25
115	123	19.78696612	62.16262988	307.5026729	144	2	123	1064010.113	144	115	123	-162	-5961733	1275371.375
116	125	11.67653624	36.68289779	107.0822302	147	2	125	1064026.283	147	116	125	-165	-5961807.5	1275261.875
117	126	11.9074378	37.40851453	111.3604717	149	2	126	1064043.096	149	117	126	-165	-5961825.5	1275256.125
118	127	11.32445699	35.57691969	100.7225756	146	2	127	1064025.486	146	118	127	-165	-5961811	1275248.875
119	128	67.7264728	212.7691787	3602.529702	143	2	128	1063998.746	143	119	128	-162	-5961763	1275325.625
120	129	33.79053393	106.1562285	896.7700529	138	2	129	1063892.806	138	120	129	-153	-5961551	1275489.5
121	130	81.64234838	256.4868062	5235.042303	139	2	130	1063906.579	139	121	130	-153	-5961547.5	1275573.5
122	131	94.70752679	297.5324677	7044.640976	152	2	131	1064101.628	152	122	131	-155	-5961820.5	1275468.375
123	132	49.65613185	155.9995265	1936.585592	154	2	132	1064201.455	154	123	132	-155	-5961864.5	1275532.75
124	133	22.28038557	69.99592827	389.8842494	151	2	133	1064087.687	151	124	133	-153	-5961735.5	1275525.75
125	134	18.54305828	58.25498189	270.0575225	153	2	134	1064125.618	153	125	134	-153	-5961749	1275564.875
126	135	76.6343609	240.7537565	4612.498949	166	2	135	1064326.872	166	126	135	-165	-5962123.5	1275346.25
127	136	21.24678039	66.74843476	354.5457697	162	2	136	1064305.488	162	127	136	-165	-5962083.5	1275315.625
128	137	19.9304404	62.61301851	311.9747306	170	2	137	1064357.349	170	128	137	-165	-5962137	1275322.75
129	138	21.00331496	65.98412714	346.472754	168	2	138	1064338.143	168	129	138	-165	-5962085	1275381.125
130	139	15.92862176	50.04102824	199.2703052	165	2	139	1064323.571	165	130	139	-165	-5962081.5	1275353.25
131	140	25.50387157	80.12288458	510.8616347	161	2	140	1064278.821	161	131	140	-165	-5962013	1275396.5
132	141	8.131428089	25.54588032	51.93162144	164	2	141	1064320.873	164	132	141	-165	-5962062	1275375.625
133	142	10.27552239	32.28174947	82.92858622	163	2	142	1064317.185	163	133	142	-165	-5962066.5	1275360.75
134	143	10.1698537	31.94977656	81.23174571	169	2	143	1064349.392	169	134	143	-165	-5962074.5	1275413.125
135	144	9.626253013	30.2415992	72.77792056	172	2	144	1064360.311	172	135	144	-165	-5962085.5	1275414.125
136	145	19.65914238	61.76088414	303.5408493	167	2	145	1064335.328	167	136	145	-165	-5962065	1275403.375
137	146	15.64848972	49.16101087	192.3232303	155	2	146	1064218.465	155	137	146	-165	-5962076	1275157.625
138	147	20.93835223	65.78000695	344.3324606	156	2	147	1064229.858	156	138	147	-165	-5962078	1275177
139	148	14.18834001	44.574172	158.1090413	159	2	148	1064245.078	159	139	148	-165	-5962094.5	1275171.25
140	149	16.51170752	51.87281406	214.1261722	160	2	149	1064253.693	160	140	149	-165	-5962097.5	1275187.625
141	150	13.51765039	42.46679285	143.5122798	158	2	150	1064241.316	158	141	150	-165	-5962067.5	1275215.25
142	151	7.664372482	24.07834629	46.13637287	157	2	151	1064237.645	157	142	151	-165	-5962057.5	1275219.875
143	152	42.77309289	134.3753916	1436.910181	175	2	152	1064465.006	175	143	152	-155	-5962189.5	1275466.75
144	153	50.24183754	157.8390933	1982.527824	176	2	153	1064479.341	176	144	153	-167	-5962228.5	1275417.375
145	154	10.15519005	31.90338207	80.99600265	178	2	154	1064501.442	178	145	154	-157	-5962221	1275445.75
146	155	23.04453271	72.39624401	417.0827288	182	2	155	1064524.862	182	146	155	-167	-5962263.5	1275427.75
147	156	17.47268363	54.89188407	239.7763865	180	2	156	1064506.855	180	147	156	-155	-5962196.5	1275507.75
