OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
1	1	74.54882436	234.2022808	4364.880683	189	2	1	758311.3306	189	1	1	-2322	-5916844.5	1034604.375
2	2	53.11161193	166.8547907	2215.478282	195	2	2	758402.7435	195	2	2	-2322	-5916950.5	1034570.25
3	3	32.54742998	102.2507283	831.9992906	194	2	3	758379.0955	194	3	3	-2322	-5916910	1034575.625
4	4	28.69724822	90.15536445	646.8048722	193	2	4	758368.0381	193	4	4	-2322	-5916875	1034623.313
5	5	29.31265381	92.08822284	674.8361198	191	2	5	758347.5173	191	5	5	-2322	-5916854.5	1034616.375
6	6	60.95595286	191.4989175	2918.251938	196	2	6	758433.2116	196	6	6	-2340	-5916914.5	1034740.125
7	7	18.94066863	59.50404641	281.7624633	198	2	7	758492.26	198	7	7	-2322	-5917000.5	1034622.813
8	8	11.81119394	37.10581669	109.5655758	202	2	8	758513.6931	202	8	8	-2340	-5916957.5	1034778.188
9	9	23.53809039	73.94732136	435.1460341	200	2	9	758500.1148	200	9	9	-2340	-5916936	1034806.25
10	10	10.18979288	32.01220083	81.549481	201	2	10	758508.0472	201	10	10	-2340	-5916935	1034817.938
11	11	9.980861665	31.35598989	78.24041898	203	2	11	758515.4006	203	11	11	-2340	-5916945	1034810.375
12	12	73.19348365	229.9437995	4207.591239	184	2	12	758173.4445	184	12	12	-2306	-5917007	1033859.25
13	13	86.68550163	272.3308441	5901.790656	181	2	13	758129.274	181	13	13	-2306	-5916840.5	1034131.938
14	14	81.98637889	257.5678403	5279.264347	183	2	14	758167.4877	183	14	14	-2306	-5916866	1034210.75
15	15	41.42197388	130.1309036	1347.569046	186	2	15	758280.6983	186	15	15	-2322	-5916886.5	1034372.5
16	16	39.75702616	124.9005963	1241.421205	188	2	16	758308.5908	188	16	16	-2322	-5916960	1034266.5
17	17	48.28050935	151.6775144	1830.764752	190	2	17	758331.2296	190	17	17	-2322	-5916900	1034475
18	18	75.57095351	237.4132984	4485.390094	182	2	18	758129.4291	182	18	18	-2311	-5916684.5	1034524.313
19	19	74.82145834	235.0588201	4396.866098	187	2	19	758300.6403	187	19	19	-2322	-5916843.5	1034573.25
20	20	32.22895567	101.2504586	815.8008137	192	2	20	758360.4983	192	20	20	-2322	-5916886	1034595.5
21	21	22.58838401	70.96353122	400.7380426	205	2	21	758532.2542	205	21	21	-2340	-5916990	1034758.188
22	22	63.24649713	198.6945624	3141.681107	197	2	22	758442.8324	197	22	22	-2340	-5916940	1034686.438
23	23	72.41918675	227.5116952	4119.054979	199	2	23	758494.1251	199	23	23	-2340	-5916993.5	1034705.188
24	24	13.80786769	43.3787972	149.7425235	208	2	24	758550.5772	208	24	24	-2340	-5916992	1034790.188
25	25	13.67309933	42.95513302	146.8318506	210	2	25	758573.2566	210	25	25	-2340	-5917021.5	1034777.438
26	26	7.14174895	22.43638346	40.05860709	211	2	26	758581.1191	211	26	26	-2340	-5917020.5	1034789.563
27	27	26.93061202	84.60490673	569.6147649	207	2	27	758541.4986	207	27	27	-2340	-5916969	1034832.875
28	28	28.8355918	90.58982851	653.0538754	204	2	28	758524.3961	204	28	28	-2340	-5916956	1034818.688
29	29	10.58016012	33.23874576	87.91832214	206	2	29	758535.0856	206	29	29	-2340	-5916972.5	1034795.125
30	30	74.60675199	234.3841845	4371.663674	209	2	30	758566.1236	209	30	30	-2340	-5917011.5	1034869.313
31	31	113.3325453	356.0448387	10087.87111	212	2	31	758674.9452	212	31	31	-2340	-5917200.5	1034704.563
32	32	213.1207704	669.5384324	35673.12522	185	2	32	758182.8836	185	32	32	-2261	-5917340	1033293.5
33	33	16.71491248	52.51168023	219.4330125	155	2	33	727170.6522	155	33	33	-2347	-5882945	1037305.5
34	34	11.39226463	35.78965183	101.9307179	174	2	34	727266.2973	174	34	34	-2347	-5883004.5	1037394.375
35	35	13.69471579	43.02310003	147.2968762	176	2	35	727271.3726	176	35	35	-2347	-5882996	1037423.938
36	36	8.876729611	27.88730288	61.88753185	170	2	36	727252.4525	170	36	36	-2347	-5882981.5	1037412.125
37	37	8.059667731	25.32029431	51.01849401	177	2	37	727296.304	177	37	37	-2347	-5883053.5	1037350.813
38	38	6.47225288	20.33336697	32.90097236	178	2	38	727301.4263	178	38	38	-2347	-5883044	1037384.75
39	39	4.167784375	13.09352986	13.64280344	179	2	39	727304.6444	179	39	39	-2347	-5883048.5	1037377.938
40	40	6.279331415	19.72700731	30.9679564	180	2	40	727309.0348	180	40	40	-2347	-5883051.5	1037383.188
41	41	18.24347121	57.31365754	261.4004824	136	2	41	727077.6865	136	41	41	-2347	-5882825.5	1037355.188
42	43	16.75608048	52.64108033	220.5158055	130	2	43	727032.5099	130	42	43	-2315	-5882767.5	1037378.938
43	44	10.09475179	31.71332189	80.03383126	122	2	44	726996.6524	122	43	44	-2315	-5882749	1037325.938
44	45	44.96764007	141.2703089	1588.151487	128	2	45	727026.2975	128	44	45	-2315	-5882782.5	1037361.938
45	46	6.92660099	21.76064979	37.6819922	127	2	46	727023.0921	127	45	46	-2315	-5882765.5	1037348.75
46	47	11.24304418	35.32077696	99.27745438	126	2	47	727022.5981	126	46	47	-2315	-5882770	1037342.375
47	48	14.13636562	44.41060892	156.950821	121	2	48	726995.8598	121	47	48	-2315	-5882714.5	1037408.625
48	49	6.81147975	21.39878259	36.4391526	99	2	49	726943.031	99	48	49	-2315	-5882658.5	1037400.125
49	50	10.80992375	33.96039074	91.77734564	106	2	50	726960.2939	106	49	50	-2315	-5882698	1037354.063
50	51	7.525638621	23.64268384	44.48193644	98	2	51	726941.843	98	50	51	-2315	-5882654.5	1037407.563
51	52	26.92692315	84.59366425	569.4633917	65	2	52	726879.4998	65	51	52	-2315	-5882608	1037384.438
52	53	14.70378276	46.19299516	169.8018359	63	2	53	726875.8908	63	52	53	-2315	-5882608	1037356.938
53	54	18.1279213	56.95045587	258.0979444	59	2	54	726868.8738	59	53	54	-2315	-5882601	1037365.688
54	55	12.73145091	39.99706401	127.305264	48	2	55	726849.0261	48	54	55	-2332	-5882491.5	1037562.875
55	56	17.99472512	56.53207942	254.3197318	41	2	56	726834.5882	41	55	56	-2332	-5882473	1037574.813
56	57	12.21833792	38.38521654	117.251424	51	2	57	726851.9004	51	56	57	-2332	-5882491	1037574.25
