OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
1	1	53.12362029	166.8930257	2216.493757	226	2	1	875352.4556	226	1	1	-1193	-5721898.5	1310679.5
2	2	16.61906404	52.21040004	216.9222885	235	2	2	875390.1184	235	2	2	-1193	-5721905.5	1310706.125
3	4	11.69543088	36.74218059	107.4286185	241	2	4	875401.5836	241	3	4	-1193	-5721911.5	1310712.875
4	6	17.79492897	55.90454878	248.7049499	239	2	6	875397.278	239	4	6	-1193	-5721931.5	1310685.875
5	7	22.1673996	69.64104133	385.940761	232	2	7	875381.8242	232	5	7	-1193	-5721934	1310662.25
6	8	8.528771271	26.79386176	57.1295444	234	2	8	875389.3468	234	6	8	-1193	-5721924.5	1310676.375
7	9	38.68886163	121.5444209	1175.601668	259	2	9	875440.4211	259	7	9	-1193	-5721978.5	1310705.5
8	10	21.41014639	67.26207816	360.0233749	303	2	10	875502.5501	303	8	10	-1193	-5722067	1310681.125
9	11	13.47833627	42.34332827	142.6790204	326	2	11	875530.485	326	9	11	-1193	-5722093	1310688.5
10	12	9.857739778	30.96869118	76.31955661	312	2	12	875511.8537	312	10	12	-1193	-5722079	1310675.125
11	13	8.006662472	25.15395148	50.35035924	309	2	13	875509.8304	309	11	13	-1193	-5722080	1310667.75
12	14	4.987109089	15.66743672	19.53376842	306	2	14	875505.5474	306	12	14	-1193	-5722074	1310667.125
13	15	15.83250134	49.73929776	196.8744849	284	2	15	875478.2486	284	13	15	-1193	-5722055.5	1310654.375
14	16	6.51684427	20.47327711	33.35530112	291	2	16	875489.0569	291	14	16	-1193	-5722056.5	1310664.125
15	17	10.30046235	32.3597235	83.32968503	289	2	17	875484.0401	289	15	17	-1193	-5722050.5	1310667.625
16	18	5.367399464	16.86218441	22.62652216	294	2	18	875492.9245	294	16	18	-1193	-5722057.5	1310668.625
17	19	21.44108684	67.35912773	361.063049	293	2	19	875489.9761	293	17	19	-1193	-5722048.5	1310683.25
18	20	6.119997962	19.22683045	29.41748422	328	2	20	875536.7321	328	18	20	-1193	-5722087.5	1310698.375
19	21	12.60300961	39.59346618	124.7490316	251	2	21	875425.17	251	19	21	-1193	-5721999.5	1310641.125
20	22	6.090174011	19.13290173	29.13076017	257	2	22	875434.9847	257	20	22	-1193	-5722001.5	1310649.375
21	23	5.473828671	17.19678058	23.53338696	258	2	23	875437.0908	258	21	23	-1193	-5722006	1310646.25
22	24	4.386628755	13.78077788	15.1125448	260	2	24	875441.1665	260	22	24	-1193	-5722007.5	1310650
23	25	9.549944417	30.00185685	71.62859046	252	2	25	875425.2436	252	23	25	-1193	-5722005	1310633.5
24	26	28.80203747	90.48401846	651.5292162	281	2	26	875476.9134	281	24	26	-1193	-5722035	1310687
25	27	18.11723904	56.9169957	257.7947523	230	2	27	875376.5509	230	25	27	-1193	-5721961	1310620
26	28	10.37789271	32.6031344	84.58801712	229	2	28	875376.3941	229	26	28	-1193	-5721945.5	1310632.875
27	29	19.47053446	61.16860119	297.7468902	227	2	29	875360.7961	227	27	29	-1193	-5721940.5	1310617.625
28	30	16.70972748	52.49498777	219.2935276	223	2	30	875338.4029	223	28	30	-1193	-5721913	1310618.375
29	31	12.31294349	38.68234895	119.0736901	224	2	31	875350.3581	224	29	31	-1193	-5721928.5	1310615.125
30	32	10.17166844	31.95514526	81.25904766	238	2	32	875393.9648	238	30	32	-1193	-5721966	1310633.25
31	33	10.3072517	32.38132572	83.44097813	240	2	33	875400.4104	240	31	33	-1193	-5721974	1310633.375
32	34	7.07885132	22.23880606	39.35619202	237	2	34	875393.3468	237	32	34	-1193	-5721950	1310650.125
33	35	9.176940981	28.82991911	66.14194835	246	2	35	875416.1156	246	33	35	-1193	-5721992.5	1310631.625
34	36	15.74517618	49.46496749	194.7088053	244	2	36	875409.8815	244	34	36	-1193	-5721964	1310663
35	37	8.677806851	27.26210718	59.14376639	242	2	37	875403.0913	242	35	37	-1193	-5721962	1310652.125
36	38	11.94789733	37.5356018	112.1184028	255	2	38	875431.2777	255	36	38	-1193	-5721961.5	1310697.5
37	39	15.13061989	47.53397377	179.803599	245	2	39	875415.644	245	37	39	-1193	-5721949.5	1310689.125
