OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y	OBJECTID_12_13	Shape_Length_1	Shape_Area_1	Color
45	45	14.65027072	46.02540869	168.5720014	111	2	45	884665.3594	111	45	45	-767	-5730326.5	1314482.125	45	39.85687795	121.5428633	
46	46	8.384614475	26.3407411	55.21360648	110	2	46	884664.1571	110	46	46	-767	-5730329	1314472.375	46	20.29407715	27.53384754	
47	47	5.723782137	17.98198311	25.73151202	109	2	47	884663.9679	109	47	47	-767	-5730342	1314456	47	16.62610428	21.77235486	
48	48	8.054970165	25.30538769	50.95844027	114	2	48	884691.1807	114	48	48	-767	-5730379.5	1314451.625	48	19.44128449	25.1350005	
49	49	5.12183772	16.0906546	20.60333676	116	2	49	884698.7196	116	49	49	-767	-5730371	1314473	49	15.01274937	17.79395262	
50	50	27.93575837	87.76278451	612.9300641	104	2	50	884587.2884	104	50	50	-757	-5730426.5	1314247.25	50	81.43945058	498.0509428	
51	51	15.85026423	49.79525075	197.3176722	91	2	51	884445.9493	91	51	51	-767	-5730105.5	1314423	51	43.05320356	128.8765554	
52	52	12.62298709	39.6562833	125.1451874	92	2	52	884451.4233	92	52	52	-767	-5730083	1314458.25	52	35.39880131	96.23583718	
53	53	31.22198545	98.0868921	765.6179097	93	2	53	884459.5369	93	53	53	-767	-5730136.5	1314418.875	53	83.83508294	488.303957	
54	54	15.79933025	49.63493793	196.0492125	96	2	54	884506.2514	96	54	54	-767	-5730166	1314438.375	54	43.18782603	135.016356	
55	55	7.971090214	25.04181047	49.90241741	86	2	55	884391.8773	86	55	55	-764	-5730006	1314457.75	55	23.0708882	33.30449318	
56	56	6.975375286	21.91375296	38.21410203	85	2	56	884373.0805	85	56	56	-764	-5729991.5	1314447.375	56	20.02168357	30.29968616	
57	57	4.41087282	13.85690949	15.2799839	87	2	57	884393.5213	87	57	57	-764	-5730002.5	1314463.125	57	12.50412942	11.98309432	
58	58	3.416576088	10.73363036	9.168185799	88	2	58	884411.7329	88	58	58	-764	-5730010	1314480.625	58	10.59984377	7.353539659	
59	59	9.99183576	31.39027187	78.41159536	89	2	59	884421.4903	89	59	59	-764	-5730032.5	1314473.125	59	29.43287758	64.37500015	
60	60	31.89956571	100.2156849	799.2111493	90	2	60	884421.6238	90	60	60	-767	-5730048	1314473.25	60	80.04526235	329.3990007	
61	61	14.40146905	45.24367906	162.8943279	83	2	61	884280.1192	83	61	61	-764	-5729775	1314580.625	61	42.26683417	138.2250776	3
62	62	20.24415233	63.59862149	321.8737358	82	2	62	884269.8358	82	62	62	-764	-5729777	1314565.875	62	53.50920189	177.1126963	3
63	63	33.33775446	104.7335361	872.8943234	77	2	63	884176.6104	77	63	63	-764	-5729650	1314592.375	63	90.42087716	604.3746917	3
64	64	11.27335346	35.41611646	99.81412642	76	2	64	884173.0829	76	64	64	-764	-5729625	1314600.375	64	29.31713385	63.63402865	3
65	65	13.25364303	41.63785648	137.9643451	78	2	65	884181.4224	78	65	65	-764	-5729624.5	1314614.75	65	38.12811569	98.45849976	3
66	66	49.96974034	156.9848348	1961.126177	69	2	66	884115.8769	69	66	66	-757	-5729579	1314600.375	66	137.23714	1380.658417	3
67	67	37.8737627	118.9840518	1126.594546	64	2	67	884082.8139	64	67	67	-757	-5729587	1314522.625	67	100.1018546	579.3125085	3
68	68	19.99905695	62.82883715	314.1291069	65	2	68	884094.0502	65	68	68	-757	-5729451.5	1314700.75	68	53.14283126	204.8004494	2
69	69	22.74390113	71.45206915	406.2746789	66	2	69	884099.9025	66	69	69	-757	-5729440	1314728.375	69	63.71947461	303.5705083	2
70	70	18.01466839	56.59498623	254.8860418	67	2	70	884104.6061	67	70	70	-757	-5729428.5	1314746.375	70	48.08098863	169.6029757	2
71	71	10.65057492	33.45984671	89.09186085	73	2	71	884155.3775	73	71	71	-757	-5729512	1314713.125	71	28.98644566	54.95353711	2
72	72	28.26418774	88.79457946	627.4267713	34	2	72	883645.0467	34	72	72	-749	-5729009.5	1314563.5	72	77.20780202	445.1917571	2
73	73	70.80817221	222.4501992	3937.818855	21	2	73	883440.6186	21	73	73	-744	-5728735	1314631.375	73	204.3716038	2850.304049	2
74	74	53.06752663	166.7164086	2211.804962	52	2	74	883773.371	52	74	74	-749	-5729106	1314664.875	74	134.6870588	1056.527174	5
75	75	22.39369912	70.3516654	393.8573019	9	2	75	882175.9224	9	75	75	-722	-5728601.5	1312807.375	75	62.51398831	298.1340015	2
76	76	19.69255786	61.8662217	304.5771532	7	2	76	882127.5199	7	76	76	-722	-5728601	1312732.125	76	62.48615342	262.1935501	2
77	77	16.56111059	52.02834459	215.4121284	6	2	77	882107.1453	6	77	77	-722	-5728595	1312706.25	77	42.80017092	119.0327225	2
78	78	15.36183489	48.26049269	185.3419119	8	2	78	882152.2434	8	78	78	-722	-5728601	1312765.125	78	40.9770437	127.2309766	2
79	79	37.64003746	118.2497464	1112.731986	11	2	79	882225.3867	11	79	79	-722	-5728661	1312823.5	79	96.02881354	628.2105469	2
80	80	16.19739878	50.88584059	206.0554198	14	2	80	882272.8703	14	80	80	-726	-5728809.5	1312692.875	80	46.32011015	163.7700405	2
81	81	19.3924258	60.92309518	295.3616156	15	2	81	882292.0843	15	81	81	-726	-5728812.5	1312721.875	81	56.53967761	219.9393746	2
82	82	31.41830829	98.70381463	775.2789824	13	2	82	882264.025	13	82	82	-726	-5728824.5	1312665.625	82	78.47338913	332.839227	2
83	83	26.69437723	83.86269605	559.6645209	10	2	83	882212.3575	10	83	83	-726	-5728785.5	1312639.25	83	71.16536668	351.5961702	2
84	84	15.209423	47.78203358	181.6851343	16	2	84	882325.0018	16	84	84	-726	-5728812.5	1312765.875	84	37.44323409	97.5356625	2
85	85	12.17513884	38.24951888	116.4238856	17	2	85	882422.8998	17	85	85	-727	-5728812.5	1312916	85	32.63266214	80.5686289	2
86	86	12.61371621	39.627301	124.9623326	12	2	86	882236.052	12	86	86	-722	-5728739.5	1312720	86	31.76891386	71.67379432	2
87	87	25.84818618	81.20438434	524.745946	1	2	87	881966.4188	1	87	87	-722	-5728346	1312807.5	87	73.68181331	403.828269	2
88	88	27.62885025	86.7987388	599.5383463	18	2	88	882471.1942	18	88	88	-726	-5728929	1312862.125	88	81.29389097	392.0541296	2
89	89	9.264802287	29.10622762	67.41584441	19	2	89	882507.3939	19	89	89	-726	-5728951	1312871.5	89	25.62542508	44.44603844	2
90	90	19.69457542	61.87239133	304.6379044	5	2	90	882019.4529	5	90	90	-722	-5728541	1312641.375	90	49.50049587	163.5002289	5
91	91	20.82624086	65.4277493	340.6544745	2	2	91	881973.6137	2	91	91	-722	-5728507	1312612.625	91	57.51247746	249.8376673	
92	92	14.17839101	44.54301103	157.8880564	4	2	92	882007.4296	4	92	92	-722	-5728506.5	1312660.875	92	37.96245829	104.4836949	4
93	93	16.82016569	52.84240224	222.2057236	3	2	93	881992.7732	3	93	93	-722	-5728511	1312636.125	93	38.51742008	70.31675052	4
94	94	36.93373729	116.0305922	1071.359325	59	2	94	883928.9573	59	94	94	-742	-5730382	1313293.625	94	98.44306017	674.0978301	
95	95	37.67250601	118.3519634	1114.656544	112	2	95	884665.4345	112	95	95	-750	-5731294	1313290.375	95	104.2690583	838.3955668	
96	96	19.1391366	60.12759051	287.6985926	107	2	96	884653.0521	107	96	96	-750	-5731231.5	1313334.5	96	54.47748061	228.7012611	
97	97	17.99338631	56.52800071	254.2830354	105	2	97	884624.5205	105	97	97	-756	-5731162.5	1313377.625	97	49.47307242	177.6158514	
98	98	29.69767872	93.29826175	692.687325	98	2	98	884522.8121	98	98	98	-756	-5731042.5	1313382.875	98	96.30162326	431.8029052	
99	99	27.3462122	85.91081878	587.3349601	101	2	99	884543.8605	101	99	99	-767	-5730323	1314310.25	99	72.30835881	328.3432227	
100	100	19.4062162	60.96629819	295.7806697	102	2	100	884565.8048	102	100	100	-767	-5730328	1314332.25	100	52.00625327	201.9396138	
101	101	49.96039789	156.9551434	1960.384411	115	2	101	884692.4902	115	101	101	-756	-5730945.5	1313783.625	101	138.7046375	1400.536916	
102	102	24.86073857	78.10210401	485.4176944	118	2	102	884738.959	118	102	102	-756	-5731001	1313759.75	102	75.51114095	418.5552605	
103	103	35.55056578	111.685436	992.6204629	20	2	103	883437.9672	20	103	103	-744	-5728651	1314701.5	103	93.52566665	603.669135	2
104	104	29.09364488	91.40022874	664.7903416	26	2	104	883531.9538	26	104	104	-761	-5728710.5	1314768.375	104	87.7659133	601.8784154	2
105	105	12.9079771	40.55156172	130.8595145	55	2	105	883797.3799	55	105	105	-766	-5728978.5	1314829.5	105	39.15327296	93.69565023	2
106	106	18.6671229	58.64439998	273.6801066	50	2	106	883768.3467	50	106	106	-766	-5728994	1314771.625	106	46.23137457	122.1270601	4
107	107	27.53041142	86.48942535	595.2729652	97	2	107	884518.992	97	107	107	-767	-5730286.5	1314318.125	107	66.51732054	229.0951565	
108	108	12.01160838	37.73537948	113.315046	100	2	108	884535.6789	100	108	108	-757	-5730353.5	1314249.5	108	32.90477026	78.4557465	
109	109	8.156823422	25.62534296	52.25519936	95	2	109	884491.143	95	109	109	-757	-5730279.5	1314269.25	109	23.7004263	38.86324413	
110	110	15.37619117	48.30586004	185.6905375	99	2	110	884533.142	99	110	110	-767	-5730270	1314351.875	110	41.45550991	122.7845673	
111	111	23.49448237	73.81001178	433.5315268	94	2	111	884486.0638	94	111	111	-767	-5730218	1314350.25	111	64.13852214	289.5328053	
112	112	11.59129053	36.41482877	105.5228908	103	2	112	884568.0501	103	112	112	-757	-5730439.5	1314190.75	112	29.91386038	58.29599814	
