OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
1	3	35.55734819	111.7064768	992.9945051	141	2	3	980744.7145	141	1	3	-113	-5918368.5	1186168.75
2	4	12.48462408	39.2213989	122.4154673	162	2	4	980771.0727	162	2	4	-113	-5918382	1186178.875
3	5	22.89594418	71.92999195	411.7277693	131	2	5	980728.0405	131	3	5	-113	-5918354.5	1186151.875
4	6	17.76485187	55.81007017	247.8650382	103	2	6	980698.7363	103	4	6	-113	-5918324.5	1186142.125
5	9	6.641817902	20.86570543	34.64625359	94	2	9	980689.6702	94	5	9	-113	-5918307.5	1186147.75
6	10	7.416388269	23.29930776	43.19924653	90	2	10	980686.7827	90	6	10	-150	-5918302.5	1186153.5
7	12	15.9497283	50.10776199	199.8021456	120	2	12	980712.614	120	7	12	-113	-5918325.5	1186165.125
8	13	27.68957444	86.98944394	602.1757267	104	2	13	980698.8111	104	8	13	-113	-5918316	1186160.625
9	14	5.65087348	17.75297718	25.08028837	110	2	14	980704.4793	110	9	14	-113	-5918309	1186174.375
10	15	22.69234718	71.28994551	404.4331085	125	2	15	980715.9951	125	10	15	-113	-5918325.5	1186180.375
11	16	8.115341339	25.49528102	51.7261009	128	2	16	980720.4841	128	11	16	-113	-5918343.5	1186142.25
12	17	8.110750781	25.48045801	51.66597107	126	2	17	980717.5397	126	12	17	-113	-5918335.5	1186149.625
13	18	42.41437063	133.2488942	1412.919318	165	2	18	980775.9499	165	13	18	-113	-5918370.5	1186249.625
14	19	34.37262838	107.9845463	927.9260169	188	2	19	980824.7845	188	14	19	-113	-5918395	1186290.75
15	20	41.49157879	130.3497057	1352.104463	157	2	20	980767.755	157	15	20	-113	-5918350.5	1186266.5
16	21	16.90853186	53.11994462	224.5460207	139	2	21	980742.311	139	16	21	-113	-5918312	1186264
17	23	21.72228586	68.24231137	370.5933244	93	2	23	980689.0741	93	17	23	-150	-5918283	1186216.625
18	24	12.01708589	37.75289329	113.4202544	114	2	24	980709.425	114	18	24	-113	-5918306	1186199.875
19	25	22.42297602	70.44389891	394.8907004	75	2	25	980664.2247	75	19	25	-150	-5918248.5	1186230.625
20	26	24.55557647	77.14343817	473.5742909	89	2	26	980685.1605	89	20	26	-150	-5918261	1186254.125
21	27	15.74483695	49.4637533	194.6992465	92	2	27	980688.751	92	21	27	-150	-5918268	1186239
22	28	7.948302076	24.97027255	49.61770829	87	2	28	980683.1432	87	22	28	-150	-5918262	1186229.625
23	29	27.8948494	87.63435791	611.137529	111	2	29	980705.2236	111	23	29	-150	-5918293	1186241
